task_id,score,success,C1_latency_p95,C2_tokens_total,C3_cost_total,C4_tool_calls_total,D1_tool_error_rate,D2_agent_to_agent_communication_count,D2_communication_count,D2_system_mediated_communication_count,D3_handoff_count,P1_steps_total,P2_backtrack_rate,P3_loop_score,P4_verification_density,Q1_success_rate,Q2_completion_rate,R1_success_var,R2_latency_var,R3_tokens_var,accuracy,communication_count,cost_per_success,eval_avg_score,handoff_count,latency_e2e,pass_at_1,pass_at_3,pass_at_5,pass_at_8,stability,stage_act_events,stage_act_latency_ms,stage_act_tokens,stage_act_tool_errors,stage_act_verify_density,stage_finalize_events,stage_finalize_latency_ms,stage_finalize_tokens,stage_finalize_tool_errors,stage_finalize_verify_density,stage_plan_events,stage_plan_latency_ms,stage_plan_tokens,stage_plan_tool_errors,stage_plan_verify_density,stage_retrieve_events,stage_retrieve_latency_ms,stage_retrieve_tokens,stage_retrieve_tool_errors,stage_retrieve_verify_density,stage_revise_events,stage_revise_latency_ms,stage_revise_tokens,stage_revise_tool_errors,stage_revise_verify_density,stage_verify_events,stage_verify_latency_ms,stage_verify_tokens,stage_verify_tool_errors,stage_verify_verify_density,success_rate,token_total,tokens_cv,tokens_total,tool_calls_total,tool_error_rate,benchmark,system_label,topology
multi_domain_20,0.3333333333333333,True,105222.7657447154,64249.333333333336,0.0,47.666666666666664,0.0,0.0,0.0,0.0,8.333333333333334,104.66666666666667,0.0,0.0,0.0,0.3333333333333333,1.0,0.22222222222222224,143794980.38840607,114392496.22222222,0.3333333333333333,0.0,192748.00000000003,0.3333333333333333,8.333333333333334,96072.18766212463,0.33333333333333337,1.0,nan,nan,0.11111111111111105,9.333333333333334,96071.77113900737,64249.333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.33333333333333,0.0953333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,64249.333333333336,0.16646776275067007,64249.333333333336,47.666666666666664,0.0,workbench,dylan,dylan
multi_domain_21,0.0,False,186965.32316789104,101665.33333333333,0.0,65.0,0.0,0.0,0.0,0.0,9.0,140.0,0.0,0.0,0.0,0.0,1.0,0.0,471046783.3156374,208392338.88888887,0.0,0.0,nan,0.0,9.0,161222.82258669534,0.0,0.0,nan,nan,1.0,10.0,161222.295995986,101665.33333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.1300000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101665.33333333333,0.14199334349402404,101665.33333333333,65.0,0.0,workbench,dylan,dylan
multi_domain_22,0.0,False,77502.12436087259,47946.666666666664,0.0,30.333333333333332,0.0,0.0,0.0,0.0,4.333333333333333,66.0,0.0,0.0,0.0,0.0,1.0,0.0,53368589.61684648,8721868.222222222,0.0,0.0,nan,0.0,4.333333333333333,68964.04767036438,0.0,0.0,nan,nan,1.0,5.333333333333333,68963.85710565664,47946.666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.666666666666664,0.06066666666666671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47946.666666666664,0.06159512496613381,47946.666666666664,30.333333333333332,0.0,workbench,dylan,dylan
multi_domain_23,0.0,False,97552.52995441284,53967.333333333336,0.0,31.333333333333332,0.0,0.0,0.0,0.0,7.666666666666667,71.33333333333333,0.0,0.0,0.0,0.0,1.0,0.0,131499306.03963546,3193552.8888888895,0.0,0.0,nan,0.0,7.666666666666667,84399.46341514587,0.0,0.0,nan,nan,1.0,8.666666666666666,84399.05300633593,53967.333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.666666666666664,0.06266666666666672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53967.333333333336,0.03311357706086783,53967.333333333336,31.333333333333332,0.0,workbench,dylan,dylan
multi_domain_24,0.3333333333333333,True,112500.31460488745,58626.0,0.0,38.0,0.0,0.0,0.0,0.0,7.0,84.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.22222222222222224,406429995.70716673,123452432.66666667,0.3333333333333333,0.0,175878.0,0.3333333333333333,7.0,89621.16448084514,0.33333333333333337,1.0,nan,nan,0.11111111111111105,8.0,89620.88683200516,58626.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.07600000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,58626.0,0.18952197018089748,58626.0,38.0,0.0,workbench,dylan,dylan
multi_domain_25,0.0,False,77795.5968612056,53039.333333333336,0.0,31.0,0.0,0.0,0.0,0.0,7.666666666666667,70.66666666666667,0.0,0.0,0.0,0.0,1.0,0.0,5630201.082472409,4519746.888888889,0.0,0.0,nan,0.0,7.666666666666667,74936.20816866557,0.0,0.0,nan,nan,1.0,8.666666666666666,74935.8639880035,53039.333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.06200000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53039.333333333336,0.04008288757376603,53039.333333333336,31.0,0.0,workbench,dylan,dylan
multi_domain_26,0.0,False,161338.74586911482,89091.66666666667,0.0,56.0,0.0,0.0,0.0,0.0,7.0,120.0,0.0,0.0,0.0,0.0,1.0,0.0,1509032411.348585,825564491.5555555,0.0,0.0,nan,0.0,7.0,121740.65272013347,0.0,0.0,nan,nan,1.0,8.0,121740.25950267969,89091.66666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.11200000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89091.66666666667,0.3225064606383303,89091.66666666667,56.0,0.0,workbench,dylan,dylan
multi_domain_27,0.3333333333333333,True,120180.33040789537,78479.0,0.0,50.0,0.0,0.0,0.0,0.0,7.666666666666667,108.66666666666667,0.0,0.0,0.0,0.3333333333333333,1.0,0.22222222222222224,12201682.999204317,182201404.66666666,0.3333333333333333,0.0,235437.0,0.3333333333333333,7.666666666666667,117185.80929438274,0.33333333333333337,1.0,nan,nan,0.11111111111111105,8.666666666666666,117185.42500900124,78479.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.10000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,78479.0,0.17199760512807952,78479.0,50.0,0.0,workbench,dylan,dylan
multi_domain_28,0.0,False,91449.0326681934,49521.333333333336,0.0,30.666666666666668,0.0,0.0,0.0,0.0,5.666666666666667,68.0,0.0,0.0,0.0,0.0,1.0,0.0,148551091.1583345,7850977.555555556,0.0,0.0,nan,0.0,5.666666666666667,76759.07333691914,0.0,0.0,nan,nan,1.0,6.666666666666667,76758.85192699691,49521.333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.333333333333336,0.06133333333333338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49521.333333333336,0.05658085926731853,49521.333333333336,30.666666666666668,0.0,workbench,dylan,dylan
multi_domain_29,0.3333333333333333,True,129951.69660470862,59737.666666666664,0.0,36.666666666666664,0.0,0.0,0.0,0.0,8.333333333333334,82.66666666666667,0.0,0.0,0.0,0.3333333333333333,1.0,0.22222222222222224,210088260.45774767,2596057.5555555555,0.3333333333333333,0.0,179213.0,0.3333333333333333,8.333333333333334,112484.97112592061,0.33333333333333337,1.0,nan,nan,0.11111111111111105,9.333333333333334,112484.56639765936,59737.666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.33333333333333,0.07333333333333338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,59737.666666666664,0.026971736186919445,59737.666666666664,36.666666666666664,0.0,workbench,dylan,dylan
